STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-08,,,0.00,0.0,0.0,59,27,34,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-09,,,0.16,0.0,0.0,69,26,26,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-10,,,0.00,0.0,0.0,36,21,24,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-11,,,0.00,0.0,0.0,45,19,25,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-12,,,0.00,0.0,0.0,57,25,31,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-13,,,0.00,0.0,0.0,66,30,39,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-14,,,0.00,0.0,0.0,73,36,46,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-15,,,0.00,0.0,0.0,79,46,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-16,,,0.00,0.0,0.0,78,58,59,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-17,,,0.00,0.0,0.0,76,58,64,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-18,,,0.00,0.0,0.0,77,64,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-19,,,0.00,0.0,0.0,82,59,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-20,,,0.01,0.0,0.0,79,60,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-21,,,0.00,0.0,0.0,81,63,64,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-22,,,0.00,0.0,0.0,79,54,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-23,,,0.00,0.0,0.0,68,53,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-24,,,0.00,0.0,0.0,80,65,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-25,,,0.11,0.0,0.0,85,39,48,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-26,,,0.00,0.0,0.0,73,46,57,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-27,,,0.00,0.0,0.0,78,57,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-02-28,,,0.00,0.0,0.0,87,58,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-01,,,0.00,0.0,0.0,72,42,48,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-02,,,0.00,0.0,0.0,74,38,48,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-03,,,0.00,0.0,0.0,77,41,52,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-04,,,0.00,0.0,0.0,78,51,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-05,,,0.00,0.0,0.0,78,52,52,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-06,,,0.01,0.0,0.0,68,33,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-07,,,0.00,0.0,0.0,68,38,49,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-08,,,0.00,0.0,0.0,78,49,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-09,,,0.00,0.0,0.0,84,52,52,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-10,,,0.00,0.0,0.0,73,39,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-11,,,0.00,0.0,0.0,74,35,46,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-12,,,0.00,0.0,0.0,79,46,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-13,,,0.00,0.0,0.0,83,59,64,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-14,,,0.00,0.0,0.0,78,63,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-15,,,0.00,0.0,0.0,73,43,44,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-16,,,0.00,0.0,0.0,77,44,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-17,,,0.00,0.0,0.0,81,61,66,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-18,,,0.00,0.0,0.0,84,65,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-19,,,0.00,0.0,0.0,87,64,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-20,,,0.00,0.0,0.0,86,64,66,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-21,,,0.00,0.0,0.0,82,66,67,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-22,,,0.00,0.0,0.0,84,64,66,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-23,,,0.00,0.0,0.0,84,62,62,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-24,,,0.00,0.0,0.0,88,58,62,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-25,,,0.00,0.0,0.0,85,61,67,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-03-26,,,0.00,0.0,0.0,87,67,69,
